user_screen_name,text,ideology_score,vader_sentiment,vader_sentiment_raw,bert_stance,stance
cridheone,RT @cmanduley: the aerials out of chicago #womensmarch are something else https://t.co/ucvwtVzYM5,-1.191312684,,0,1,1
AJizmeian,RT @samsteinhp: this is a town with a population of about 950 people. https://t.co/bFrZ9jGVDW,0.224099175,,0,1,1
deadjewells,RT @naledimashishi: Scarlett Johansson speaking at the #womensmarch when she willfully participates in whitewashing is the most white femin…,-1.973935371,,0,0,0
alecdaie,RT @RomeoMiller: Because equality is for all. #WomensMarch,-1.616104818,,0,1,1
sugarbear2463,RT @SenSanders: Congratulations to the women marching today. We must go forward to ensure full reproductive justice for all women. #WomensM…,-0.546729681,1,0.872,1,1
supxrgay,"RT @ajanaomi_king: Resistance. Respect.


#womensmarch 👊🏾 https://t.co/XL6sIlmWxq",-2.018427078,1,0.4767,1,1
WomenNMedia,RT @janecondon: @foxycuda @WomenNMedia @womensmarch @washingtonpost,-1.89045917,,0,1,1
torysmasher,RT @AmnestyUK: Walk with @MeeraSyal at the #womensmarch this Saturday and stand for human rights for all https://t.co/zqlS70aSkU https://t.…,-2.336521483,,0,1,1
mnichols115,"RT @HillaryClinton: Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always S…",0.00861656,1,0.8519,1,1
oscarrosas253,"RT @shxrlocked: Sir Ian McKellen's sign is EVERYTHING


#WomensMarch https://t.co/XS3hQ14Mir",-0.412919246,,0,1,1
mowapello604,RT @timkaine: I'm still a strong man proud to stand behind strong women. March hard today! #womensmarch #stateofwomen,-1.346555581,1,0.8622,1,1
Honeyschil,"RT @MeLovesMLE: .@womensmarch 


Why isnt HRC being honored? She is the reason most are going! I wont be attending nor will my family Disgust…",-2.061380161,0,-0.521,0,0
don_woerner,RT @MdellW: Teresa Shook the woman whose Facebook invite started it all #WomensMarch https://t.co/yNwqgbsO9C,-1.08043998,1,0.0516,1,1
AnnaJussme,RT @NARAL: THIS is what democracy looks like. #WomensMarch #JoinTheResistance https://t.co/mP4x7sYHfR,-1.762587521,1,0.3612,1,1
mvelaznyc,RT @womensmarch: https://t.co/uFB7FIUsPr,-1.598653277,,0,1,1
BaldwinDejuna,RT @barnesvans: they did that!!! #WomensMarch https://t.co/n3Tfj2Gloz,-0.305983044,,0,1,1
Bronagh44,RT @Mathieunorry: Every woman and man should watch this video.. Phenomenal speech https://t.co/6lejdKNNsO,-1.133713427,,0,1,1
BELLbbn,RT @JanewitC: การประท้วง #WomensMarch ไม่ใช่การประท้วงในลักษณะมุ่งขับไล่ทรัมป์ให้ออกจากตำแหน่งวันนี้พรุ่งนี้ แต่น่าจะเป็นคำเตือนให้ทรัทป์เค…,0.592722547,,0,1,1
IamDreamWeavers,"RT @almostjingo: That awkward moment when you realize the organizer of the #WomensMarch is pro Sharia Law, the very opposite of women's rig…",1.761714348,0,-0.1531,0,0
HBH_traders,RT @womensmarch: Support the Women's March on Washington today. We'll see you 1.21 in D.C. https://t.co/eNUNMAL4ji https://t.co/7HvxJnbXcH,-1.017115575,1,0.4019,1,1
Aurania101,RT @Vangsness: Here we go❤✌🏽#WomensMarch #whyIMarch @womensmarch https://t.co/CP6ELWlhxH,-1.589214492,1,0.8126,1,1
tmeghgear,"RT @MarchSeoul: 현재 9번출구 왼편부터 10번출구 방면으로 줄을 서서 행진을 위한 준비를 하고 있습니다. 


#세계여성_공동행진_서울 


#womensmarch",0.713870064,,0,1,1
Ulrjo,RT @SenSanders: Congratulations to the women marching today. We must go forward to ensure full reproductive justice for all women. #WomensM…,-0.924248677,1,0.872,1,1
charpolitevent,"@seanspicer Next press conference, plz expose this. https://t.co/fOAG49vbwP",2.29612977,0,-0.0772,1,0
otomodachifan1,RT @sarahmccammon: Today's editorial directive. #womensmarch #inauguration2017 https://t.co/v5M1bBPGcu,-1.450929724,,0,1,1
jo_kasprzak,"RT @Variety: ""A movement is so much more than a march"" - @janetmock at #WomensMarch https://t.co/EsN6DZoonk https://t.co/HAfHfcihfH",-1.452450368,,0,1,1
ChivesYeoh,RT @EmmaWatson: #WomensMarch https://t.co/HkSrOqFTmk,-0.834034302,,0,1,1
simpsonava,RT @ACLU: Sen. Duckworth says her 2 year old is at the #WomensMarch for their first protest. Who else is marching with kids today? #Dissent…,-1.57890098,0,-0.25,1,1
ellierxchards,RT @EmmaWatson: #WomensMarch https://t.co/dYZPxJ13FI,-1.360697945,,0,1,1
Barb138,"RT @Bikers4Liberty: We demand @Madonna be arrested for her Pre-Meditated threat to the @POTUS at the #WomensMarch @FBI
#RETWEET
Join https:…",2.052511295,0,-0.7003,1,0
r_moonfrairsmom,RT @AntonioFrench: Another view from the #WomensMarch in St. Louis. https://t.co/p8o5inr5ZX,-1.873213447,,0,1,1
iovesheeran,RT @DarrenCriss: Los Angeles is feeling bright and alive this brisk morning. It's infectious. Hopeful. #WomensMarch,-0.520251513,1,0.8765,1,1
1chefdiva,RT @Variety: Scarlett Johansson talks about #PlannedParenthood at #WomensMarch: It's time to get personal. https://t.co/EsN6DZoonk,-1.443805374,,0,0,1
1dAMAs1d,"RT @Madam_President: .@emilyslist is here in Washington, D.C. getting ready for the #WomensMarch. If you see us, come get a sign! https://t…",-0.465538072,1,0.4199,1,1
calicoxat,"RT @harryistrueart: Mujeres gritando""Mi cuerpo, mi elección""


Hombres gritando ""Su cuerpo, su elección""


Este es el tipo de cosas que quiero…",-0.118624929,,0,1,1
DestaG,"Pilot: Welcome to the Inauguration special flight. 


Me (out loud): How about the #WomensMarch special flight?


Plane: *Cheers &amp; amen's!*",-1.089096314,1,0.8955,1,1
rivetingpics,@mcgarrybowen NICE work on the #WomensMarch piece! https://t.co/5konq2GJQB,-1.586568976,1,0.5893,1,1
feliciaw5853,"RT @AmandaJ_TX: 3 generations of women: Emily, Ashby, and Nanette are traveling to DC for the #womensmarch. https://t.co/EwcgukvBDU",-1.3875953,,0,1,1
B_Adams97,RT @Nick_Offerman: I'm headed to the Sundance #WomensMarch - ur welcome 2 come feel the weight of my feminist balls in your tiny hand if it…,-0.76021041,1,0.7351,1,1
Ripley2A,RT @AustinTX_NOW: We broke the record for largest gathering in Texas history. #WomensMarch #WomensMarchOnAustin #WomensMarchATX https://t.c…,-1.938152861,0,-0.4215,1,1
meyerlandesman,"RT @rosiescammell: Image of Jo Cox, British MP murdered last year by a right-wing extremist, at #WomensMarchLondon #WomensMarch https://t.c…",-2.134482463,0,-0.6597,0,1
patriotkris,"RT @VoteTrumpPics: Madonna dropped the F-Bomb ..who cares, we already dropped the BIGGEST FU ever recorded in human history!

And it feels…",2.11304888,0,-0.5754,0,0
zeskijms,HAHAHAH lovinggfg it https://t.co/14E0WnR00U,0.22975924,,0,1,1
Wayne88fan,So what did the #WomensMarch actually accomplish today other than more dislike and division? #Justwondering,1.688184456,0,-0.024,0,0
fargonia,"Thank you for uniting our country, #Trump.  You delivered on your promise, you hateful little man. 





#WomensMarch",-1.167166415,1,0.1531,1,1
EqualityWorld,RT @PPact: Let's send a strong message supporting women's health &amp; rights. Join a @womensmarch in your area: https://t.co/8yKkIml8ic https:…,-2.002774494,1,0.8126,1,1
ventizzy,RT @Almaharel: These women never met till today and practiced this song online. Show them some love. #Icantkeepquiet #WomensMarch #WomensMa…,0.461993742,1,0.6369,1,1
ComplyEthic,RT @WomensMarchCBR: For a small city we certainly pull the crowds! Thanks Canberra 😄👭💪☀️ #womensmarchcbr #womensmarch https://t.co/oaYlhwes…,0.997136872,1,0.8777,1,1
esnooopy,#addhername https://t.co/vHuZagbT2f,-2.119673618,,0,1,1
23YearNavyVet,RT @HillYes1: RT if you are #StillWithHer and are proud to support @HillaryClinton even if @womensmarch isn't! https://t.co/ph3Rx58Tz5,-1.323273251,1,0.7263,1,1
iPrinceMB,"RT @dabeard: .@NYCMayor put the total at 400,000 at the #nycwomensmarch #WomensMarch https://t.co/McYmhc7tWG",-2.05403778,,0,1,1
Annamayyy15,"RT @SenSanders: This is not a time for despair, but rather a time for action. We are standing up and fighting back. #WomensMarch",-1.45261766,0,-0.5994,1,1
oude_lap,RT @RitaPanahi: Absurd virtue signalling. Feminists ignore FGM *in Australia* but take to the streets to protest democratically elected US…,1.403776663,0,-0.3291,0,0
janaynasenna,"RT @Imjsecret: Katy Perry


Lady gaga


Beyonce


Ariana Grande


Lauren Jauregui 


Halsey 


e eu aqui no sofá #WomensMarch https://t.co/Rp5LNurjC7",0.092824524,0,-0.296,1,1
myles_deluca,RT @NevSchulman: The future is bright. #HumanRights #EqualRights #WomensMarch https://t.co/xkuiHjPkEe,-1.825817481,1,0.4404,1,1
martywaddell1,"RT @Harry1T6: Hi #WomensMarch,





Here's Iran's embassy. Their gov't has arrested women for ""INSTAGRAM PHOTOS"".





Do something useful.





Sincer…",1.592207502,0,-0.0516,0,0
paws4zen,"RT @hardball: ""What's important about this march is that it shows that Trump is a minority President."" @DavidCornDC #WomensMarch #hardball",-1.992113621,1,0.2023,1,1
CharlynnDiane,RT @cjbydesign: I feel you 😂🙌🏽  #WomensMarch https://t.co/ZsEC8TbArE,-0.002188157,1,0.4404,1,1
TropicalTory,RT @BradWalsh: Turns out Trump really is a great uniter. Yesterday's #womensmarch was the biggest and most widespread protest in American h…,-1.857519402,1,0.4741,1,1
BeckksSG,RT @TIFF_NET: Leaving this here. #WomensMarch https://t.co/DvOlUbvqRY,-1.406508393,,0,1,1
a_trochemoche,"RT @Vegdelanoche: #WomensMarch


Ira y alegría.Repudio a Trump X David Brooks


 “tomo este horror para despertarnos a chingadazos”,Madona


http…",-1.758965132,0,-0.5719,1,1
ladiiec_98,@womensmarch anyone have info on #WomensMarch in FL?!?,-1.469837717,,0,1,1
nothankuuuuu,@SenSanders Yo Bernie!! 🙌 https://t.co/ALsEegxZRf,1.545189469,,0,1,1
lejoeaoun,RT @MileyMildrew: The best sign from yesterday. #WomensMarch https://t.co/w82HAd1rYU,0.941754118,1,0.6369,1,1
Ffs_050,RT @HughDancyNet: Hugh Dancy at #WomensMarch  Yesterday. https://t.co/e99W1SoNBW,-0.098548021,,0,1,1
Be_Back_Soon,"RT @KarenCivil: Janelle Monáe speaks at the #WomensMarch: ""It was woman... Don't you ever forget it."" https://t.co/L52gHXhqCJ",-0.135653595,1,0.1695,1,1
DeereShopping,"RT @GetWisdomDude: 1.2 Million of Us At
#WomensMarch In DC Today.
Millions Across the World

Incredible Rooftop View
via @KerryGFleming
htt…",-1.621855384,,0,1,1
belalunaetsy,RT @womensmarch: It's finally here! Check out our March Map and remember to print it out and save it to your phone. #WomensMarch https://t.…,-2.045174719,1,0.5411,1,1
