text,stance,sentiment,balanced_train,vader_scores
YES! I'm still with her and always will be. https://t.co/2LWJYectzQ,1,1.0,0.0,0.5754
Pics or it didn't happen. https://t.co/o1GddSmwk2,1,0.0,0.0,0.0
I love this nasty woman. @MaribethMonroe #womensmarch #womensmarchLA https://t.co/QlCaKiz6yM,1,1.0,1.0,-0.0129
RT @YiawayYeh: Marching for love.  Nashville #WomensMarch https://t.co/PPEpxIM6O7,1,1.0,1.0,0.6369
These people are just Sad. https://t.co/0LK6iGHmHx,0,0.0,1.0,-0.4767
RT @DaShanneStokes: I support the @womensmarch and encourage you to as well. Learn more: https://t.co/G9oKBjqVcH #TheResistance #resist #tr…,1,1.0,0.0,0.7964
"RT @TheBaxterBean: Spicer: ""It was the largest audience to ever witness an #inauguration""

Reporter: ""That's a lie but have you looked out…",1,1.0,0.0,0.0
"Laurie Penny just admitted to, up until recently, being the establishment.
https://t.co/6tvTp1B5PQ",0,0.0,1.0,0.1027
@realDonaldTrump here comes the Twitter tantrum .. grow the fuck up #womensmarch #fucktrump #growup #twitterinchief https://t.co/7FekICFOzd,1,0.0,1.0,-0.743
"RT @shannonrwatts: Honored to be included on behalf of @MomsDemand... 

#whyimarch #womensmarch https://t.co/9l0khiN14I",1,1.0,0.0,0.5859
Our #MondayMotivation's are all those that were a part of the #WomensMarch https://t.co/fRmkAkMWQM,1,1.0,1.0,0.0
"RT @dougf24: Seven hours before official start time, people starting to gather on National Mall in Washington DC for #WomensMarch. High tur…",1,1.0,1.0,0.0
"Staring at my cat because @MMFlint told me to. Tomorrow, the fight continues. #womensmarch",1,0.0,0.0,-0.3818
RT @Mitch_Pittman: People continue to pour off the ferry for the Seattle #WomensMarch. https://t.co/tnhGtv8Hgr,1,1.0,0.0,0.0
RT @nessaphelan: @robdelaney can you please give a signal boost for a red state #WomensMarch? We are expecting big #s and need more A/V equ…,1,1.0,0.0,0.6124
RT @NancyRichmond: Bringing online connections into the real world #LeadersGetSocial https://t.co/11G7ZXpXbB,1,1.0,0.0,0.0
@letsmove @MichelleObama Please retweet and like to stop trump #notmypresident #WomensMarch #Feminist  https://t.co/gDvTG36sWv,1,0.0,0.0,0.3818
RT @melissagira: The @womensmarch supports sex workers' rights. That's huge. It shouldn't be. This is my explanation why. https://t.co/mQ2z…,1,1.0,0.0,0.5859
"RT @AnasuyaIam: This THREAD....🔥🔥🔥💯
#WomensMarch https://t.co/1EuasMFZrf",1,1.0,0.0,-0.7351
RT @MacleansMag: Gloria Steinem on why the word 'feminism' is so misunderstood: https://t.co/Ae6E5EfpXv #WomensMarch,1,0.0,0.0,-0.4795
Maybe there's hope that the world will turn to a better place after all #WomensMarch #3o2balna,1,1.0,1.0,0.7003
@piersmorgan Thanks for the opinion. Noted and ignored. You don't get to set terms for #freespeech or #WomensMarch,1,0.0,0.0,0.1531
She is a true leader of evil! LEADING Mentally ill foolish American women into converting 2 SHARIA where soon your UTERUS will be mutilated! https://t.co/bL37gl7wDK,0,0.0,1.0,-0.7955
"Another irrelevant celebrity, without a clue, leading the mindless. https://t.co/SbMbSVhLiP",0,0.0,1.0,-0.4404
We made history at #womensmarch. Now it’s time to make our voices heard. First up: send a postcard to your Senators https://t.co/Q18CKutQtG,1,1.0,0.0,0.0
Can't wait to see her outfit https://t.co/SsCcDZWckO,1,1.0,0.0,0.0
Run for office! Vote in the midterms. #WomensMarch #nastywomen,1,1.0,0.0,0.0
"RT @sarperotto: #WomensMarch #SanFrancisco can hardly move in the crowds! Chant of the day ""we need a leader, not a sleazy tweeter"" https:/…",1,1.0,0.0,0.0
"RT @MaureenFrench: TY @cspan for airing the #WomensMarch #TheResistance #OurRevolution #NotMyPresident
Take note @CNN @MSNBC @NBC @FOX @ABC…",1,1.0,0.0,0.516
RT @BuzzFeed: Two generations of the #WomensMarch on Washington https://t.co/i1FyjmSN0c https://t.co/4Yie4cAT4P,1,1.0,1.0,0.0
"RT @pcr241: I saw JUDGE JANINE,questioning the women at this THING,they seemed BEWILDERED and CONFUSED as to their PURPOSE

#SHARIAsuks htt…",0,0.0,1.0,-0.4648
Say it again! #BlackLivesMatter https://t.co/sPCsnf7P4U,1,1.0,0.0,0.0
RT @SirenWonderland: You're so vain. You prolly think this March is about you. @BosWomensMarch #WomensMarch https://t.co/63rcnQuzPV,1,0.0,1.0,-0.5598
"RT @MaggieSimmons97: my heart ACHES that I couldn't be with u this time, but I am so emotional and so proud of everyone walking the #Womens…",1,1.0,0.0,0.8401
RT @Thomas1774Paine: Grocery stores experience shortage on chemical cleaning supplies after #WomensMarch attendees swap man-hater recipes.…,0,0.0,1.0,-0.25
"RT @dlmluckytiger: Wow! Snl- Kelly Ann Conway steals ""Chicago""! Must watch &amp; RT! #alternativefacts #WomensMarch #SNL  https://t.co/de2qmGAP…",1,0.0,0.0,0.3348
@libertasforall @RealJamesWoods @womensmarch Look at history.,1,1.0,0.0,0.0
Trump's White House website has already deleted all references to LGBT rights. Please march tomorrow #WomensMarch https://t.co/u8rRER3FJ7 https://t.co/XMitfVerFN,1,0.0,0.0,0.3182
"#Asheville #WomensMarch 10,000 strong. population just 87k. #lovewins #ProudAmerican #notmypresident https://t.co/cmJyBqayDw",1,1.0,1.0,0.5106
"#WomensMarch I believe if we repeat income inequality like broken record, it'll make this gov try to deliver results",1,0.0,0.0,-0.1531
for my book nerds https://t.co/zpysXtLBtX,1,1.0,0.0,0.0
#marchonwashington #womensmarch #selfie #pinkhat #pinkpussyhat #jan21 @ Washington National Mall https://t.co/VdzPLeuIBi,1,1.0,0.0,0.0
"RT @mgremb: Why are people arguing about whether the Women's March has a good name or not. 

Just. Show. Up.

#WomensMarch",1,0.0,0.0,-0.0258
"RT @HearTheChimp: @TEN_GOP @GlennMcmillan14 They will NEVER watch this, they're 2 busy protesting the fact they have NOTHING to protest abo…",0,0.0,1.0,-0.264
"RT @ddsnorth: .@MMFlint @womensmarch women marched on Washington in 1915 ... now, almost a century later, women must walk on Washington aga…",1,1.0,0.0,0.0
RT @cathysharick: Breakfast for my kids while I'm at the #WomensMarch in DC. ❤️❤️@theablebaker https://t.co/ePqSP8ddtm,1,1.0,0.0,0.0
RT @donnabrazile: #spread the good news. #WomensMarch   https://t.co/CaS59obb3l,1,1.0,1.0,0.4404
RT @bbtalkmiley: I adore her so much #WomensMarch https://t.co/UVBXLkmn1d,1,1.0,0.0,0.5574
"Even in chess, women dont play men except in some rare competitions. One of the reason I support #WomensMarch and #GenderEquality",1,0.0,0.0,0.169
RT @jessewente: This right here. https://t.co/iA65O3CUrl,1,1.0,1.0,0.0
RT @BruceBourgoine: Crowd starting to gather at Statehouse for #WomensMarchme! #p2 #TheResistance #WomensMarch #UniteBlue #mepolitics https…,1,1.0,0.0,0.0
I'm so happy to see my tl is full of people supporting the #WomensMarch even they cant join it,1,1.0,0.0,0.7189
"RT @haileybranson: ""He's always says everything is 'So great!' Well, I think he's so gross.""- Heather Brooks of N. Carolina. #WomensMarch h…",1,0.0,1.0,0.3613
RT @notmeraymond: then where were you during the election? https://t.co/sbSqtMCwEN,1,0.0,1.0,0.0
haaaa you understand that women marching is literally the reason your dumb ass was even allowed to vote for trump??? ever think about that?? https://t.co/9gfNozXGvG,1,0.0,1.0,-0.8299
Watching everything from the #WomensMarch warms my heart and gives me hope,1,1.0,0.0,0.8481
RT @NewsHour: 'We’re going to continue to fight for our rights' -- #WomensMarch organizer @msladyjustice1 https://t.co/e6hO4oXQoq,1,0.0,1.0,-0.3818
"RT @ChristineEwing7: @JustinTrudeau Some of your citizens have been denied entry to the USA .""Canadians denied US entry"" https://t.co/DtvwL…",1,0.0,0.0,-0.7003
All day and radio silence from @POTUS about the possibly 3 million #WomensMarch worldwide. Is he having a come-to-jesus moment?,1,1.0,0.0,0.0
Best sign ever! #WomensMarch #NotMyPOTUS https://t.co/xRZNHAhp9y,1,1.0,0.0,0.6696
RT @Fotis_Filippou: We're ready. See you all tomorrow! @womensmarchlon #WomensMarch  #LoveTrumpsHate #BlackLivesMatter https://t.co/bW8QL92…,1,1.0,1.0,0.4199
Oakland strong. #oaklandwomensmarch #oakland #womensmarch #nastywomen #imwithher #meow… https://t.co/t1Uf58Ftbo,1,1.0,0.0,0.5106
