wavenum,ideo5,edits_clean_text,qpos,trump_stance_auto,lexicoder_sentiment,fold,vader_sentiment,SVM_sentiment,BERT_sentiment,SVM_stance,BERT_stance,vader_scores
3,Moderate,the recent election of donald trump the freedom of the people to chose who represents them,1,1,1,3,1,1,1,1,0,0.6369
3,Very conservative,donald trump won,1,1,1,1,1,1,1,1,1,0.5719
3,Conservative,that donald trump beat hillary clinton,1,1,,5,,1,1,1,1,0
3,Conservative,donald trump was elected president,1,1,,5,,1,1,1,1,0
3,Conservative,the american people saw through the obfuscations and outright lies of hillary clinton and the democrat party to elect donald trump president of the united states,1,1,1,3,1,0,1,1,1,0.4019
3,Moderate,that a large number of forgotten or ignored voters threw a huge monkey wrench to the elite governing class of america and elected donald trump as the next president,1,1,0,4,0,0,0,0,1,-0.1531
3,Very conservative,the election of donald trump as president and preventing crooked hillary clinton from stealing the election,1,1,0,2,0,1,1,0,1,-0.5859
3,Conservative,proud for a donald trump victory proud the country stood up against the corrupt liberal agenda,1,1,1,2,1,1,1,1,1,0.7351
3,Conservative,electing donald trump president,1,1,,2,,1,1,0,1,0
3,Conservative,i liked that donald trump removed all lobbyists from his transition team,1,1,1,4,1,1,1,0,1,0.4215
3,Moderate,we came together and prayed for donald trump and he won god has placed him in charge,1,1,,2,1,1,1,1,1,0.7003
3,Conservative,that donald trump is president and things will change for the better,1,1,1,5,1,1,1,1,1,0.4404
3,Conservative,donald trump won !,1,1,1,1,1,1,1,1,1,0.6114
3,Conservative,donald trump,1,1,,1,,0,0,0,0,0
3,Conservative,donald trump being president,1,1,,1,,0,0,0,0,0
3,Very liberal,i feel proud that people are protesting donald trump and that he didnt win the popular vote thats it,1,0,1,4,0,0,1,0,0,-0.6254
3,Moderate,donald trump,1,1,,2,,0,0,0,0,0
3,Conservative,that donald trump got elected thats all,1,1,,3,,1,0,1,1,0
3,Very conservative,the donald trump won the election any pledges theres three million illegal criminal people in this country that he wants to deport im proud of him for that,1,1,,2,0,1,0,1,0,-0.0516
3,Conservative,we got donald trump voted in,1,1,,4,,1,1,1,1,0
3,Very conservative,donald trump winning,1,1,1,3,1,1,1,1,1,0.5267
3,Very conservative,donald trump is our president ! rural america has spoken,1,1,,2,,1,1,1,1,0
3,Conservative,donald trump won,1,1,1,3,1,1,1,1,1,0.5719
3,Conservative,donald trump,1,1,,2,,0,0,0,0,0
3,Conservative,donald trump being elected,1,1,,1,,1,1,1,1,0
3,Very liberal,we just gave the second most votes in our history to a female candidate for president millions of americans support the common humanity of all of us lgbtq or not black or white or latino or asian american or native american weve produced a lot of economic improvement we still have at least the apparatus of a free press so theres at least an opportunity for them to step up to the unique challenges of a donald trump presidency peaceful protest is alive,1,0,1,5,1,1,1,1,1,0.9423
4,Conservative,we have a new president who has what is best for this country as his priority,1,1,1,4,1,1,1,0,1,0.6369
4,Conservative,president donald trump gives us hope again i agree with everything he wants and will do for our country,1,1,1,4,1,1,1,1,1,0.6597
4,Conservative,that enough people have chosen wisely and we finally have a non politician for our president who will get the job done to the satisfaction of most citizens,1,1,1,5,1,1,1,1,1,0.6908
4,Very conservative,that the new president is following through with his promises and not kowtowing to the liberal agenda,1,1,,2,1,1,1,1,1,0.3818
4,Moderate,the president keeps his campaign promises unlike all the others that lie to get elected,1,1,0,2,1,1,1,1,1,0.3818
4,Very conservative,donald trump won,1,1,1,3,1,1,1,1,1,0.5719
4,Moderate,finally have a president that is competent uses common sense and sees that the u s a has been abused by the far left,1,1,1,3,0,1,1,1,1,-0.25
4,Conservative,that donald trump won,1,1,1,4,1,1,0,1,1,0.5719
4,Moderate,that hillary clinton and donald trump arent the standard bearers of american politics,1,0,,1,,0,1,0,0,0
4,Moderate,president donald trump is keeping his campaign promises,1,1,1,3,1,1,1,1,1,0.3818
4,Conservative,that the people who have been the savers and the ones to do without have finally got someone in the white house that feels like we do and is doing something about it,1,1,1,3,1,1,1,1,1,0.3612
4,Moderate,im glad hillary clinton got beat and donald trump is president,1,1,1,2,1,1,1,1,1,0.4588
4,Conservative,that we finally got a president who in not a politician and has done more in less than a month than any other,1,1,,1,,1,1,1,1,0
4,Conservative,new president who believes in the constitution,1,1,,4,,1,1,0,1,0
4,Very conservative,there is not much about american politics that make me proud however more people finding out the truth and elected donald trump,1,1,1,1,1,1,1,1,0,0.6597
4,Moderate,seeing a president that respects the office and cares about the country and its people,1,1,1,3,1,1,1,1,1,0.6486
4,Conservative,our new president is working for the people of this great country of ours and telling those establishment types in washington republican and democrat to basically go suck wind ! !,1,1,,1,1,1,1,1,1,0.5513
4,Very conservative,that we may have finally elected a man for president that is a business man not a politician to fix years of liberal socialist progressive ideas and policies,1,1,1,1,,1,1,1,1,0
4,Conservative,the fact that we have a president that is patriotic and cares about the american people,1,1,1,1,1,1,1,1,1,0.4588
4,Moderate,the freedom of the press to question our leaders the right to assemble and protest the right to speak out against the president and congress the protected right to practice religion and not be banned from travel and the right to seek a redress of grievance,1,0,1,1,1,1,1,0,0,0.6684
4,Very conservative,president donald trump is in the process of actually delivering on his campaign promises,1,1,,1,1,1,1,1,1,0.3818
4,Conservative,putting god back in the white house,1,1,,4,1,1,1,1,1,0.2732
4,Moderate,donald trump is president,1,1,,4,,1,1,1,1,0
4,Conservative,my great president making america great while pointing out the biased media and cleaning out the establishmentarians whom are only in government for personal gain regardless of their constituencies,1,1,1,2,1,1,1,1,1,0.8885
4,Conservative,donald trump,1,1,,4,,0,0,0,0,0
4,Conservative,a republican president whom is trying to help the country,1,1,1,3,1,0,1,1,1,0.4019
4,Very conservative,donald trump,1,1,,3,,0,0,0,0,0
4,Moderate,we finally have a president who isnt pc pc is absolutely ridiculous and it violates the first amendment as well as many other inherent rights not listed,1,1,,5,0,1,0,1,1,-0.6115
4,Conservative,president donald trump,1,1,,2,,1,1,1,1,0
4,Conservative,we elected an outsider to be president not someone who is a professional politician,1,1,,5,,1,1,1,1,0
4,Conservative,donald trump as president,1,1,,4,,0,0,0,0,0
4,Very liberal,the healthy amount of opposition to donald trump,1,0,,4,1,0,1,1,0,0.4019
4,Moderate,donald trump,1,1,,1,,0,0,0,0,0
4,Conservative,donald trump bringing back our pride,1,1,1,1,1,1,1,1,1,0.34
4,Very liberal,donald trump,1,1,,1,,0,0,0,0,0
4,Moderate,president donald trump,1,1,,2,,1,1,1,1,0
4,Moderate,that there is hope that president donald trump can turn things around for the good of the country ! !,1,1,1,5,1,1,1,1,1,0.7494
4,Very liberal,that despite a president so hateful and spiteful of protest we still have the freedom to protest and hate this president he may try to silence us but legally he has no right to do it and will hopefully never be successful to the point of absolute oppression of those who differ from his views,1,0,0,5,0,1,0,1,0,-0.7991
4,Conservative,that we have a president whos not just business as usual he seems to genuinely want to do whats best for the country no matter what anyone else thinks,1,1,1,5,1,0,1,1,1,0.6626
4,Conservative,president donald trump is in charge,1,1,0,1,,1,1,1,1,0
4,Moderate,president donald trump is truly making america great again and shaking up washington dc and politics as usual,1,1,,4,1,1,1,1,1,0.743
4,Conservative,president donald trump ! !,1,1,,4,,1,1,1,1,0
4,Conservative,the fact that we have finally elected a president who is totally dedicated to returning the u s a to its proper place in the world and taking care of the home front as well political correctness has almost ruined america and our 45th president recognizes it for what it isnt good for anyone,1,1,1,5,1,1,1,1,0,0.5236
4,Conservative,our president is doing what he promised to do if elected,1,1,,4,1,1,1,1,1,0.3612
4,Conservative,having a candidate who identified corruption during the election season actually win and become president,1,1,,1,1,1,0,0,0,0.5859
4,Conservative,donald trump is president,1,1,,1,,1,1,1,1,0
4,Very liberal,numerous protests against president steve bannon and his policies,1,0,0,4,0,0,0,0,0,-0.2263
4,Conservative,the fact that we have an effective president and congress,1,1,1,4,1,0,1,0,0,0.4767
4,Conservative,donald trump,1,1,,5,,0,0,0,0,0
4,Conservative,we have a president that believes in the constitution,1,1,,3,,1,1,1,1,0
4,Moderate,the fact that there are politicians willing to stand up against the tyrant donald trump,1,0,0,5,,1,1,1,0,0
4,Conservative,donald trump !,1,1,,1,,0,0,0,0,0
4,Conservative,donald trump and the resurgence of america after the past decade of imploding and disintegration,1,1,,5,,0,1,0,0,0
4,Conservative,that the president is trying to fulfill campaign promises,1,1,1,5,1,1,1,1,1,0.6705
4,Moderate,donald trump is doing his best to get americans a better future doing his best to protect all americans from terror threats trying to get better more affordable healthcare,1,1,1,2,1,1,1,1,1,0.891
4,Conservative,i like the direction that president donald trump working towards,1,1,1,1,1,1,1,1,1,0.3612
4,Very liberal,the donald trump protests,1,0,0,3,0,0,0,0,1,-0.2263
4,Conservative,we finally have a president who loves america again thats a nice change of pace im proud that we are focusing on the military and securing the countrys southern border i realize that democrats need a permanent underclass to stay in power but stuffing the ballot box demographically by importing the worlds poor while selling out your country has to stop,1,1,1,4,0,1,1,1,1,-0.25
4,Very conservative,that donald trump is standing his ground and fighting for the people who have felt like they cant voice their opinion lately,1,1,,2,,1,1,1,1,0
4,Conservative,donald trump,1,1,,1,,0,0,0,0,0
4,Moderate,resurgence of the middle man or the forgotten man as donald trump says,1,1,0,2,0,0,1,1,1,-0.2263
4,Very conservative,donald trump is president,1,1,,5,,1,0,1,1,0
4,Very conservative,that donald trump won no more barack obama and hillary clinton lost !,1,1,,1,1,1,1,1,1,0.126
4,Very conservative,a new president,1,1,,5,,1,1,0,0,0
4,Very conservative,im proud that my fellow americans finally stood up to the oppressive progressives im proud that my fellow americans are finally proclaiming enough with political correctness ! im proud of my president who is following through with the promises which made the majority of americans vote for him most importantly im proud of the american military who never get enough honor and credit for the sacrifices they make for our freedom,1,1,1,2,1,1,1,1,1,0.9619
4,Liberal,everyone who is attending town halls and who is protesting the donald trump administration,1,0,0,2,0,0,0,0,0,-0.4215
4,Liberal,people are standing up to the fascist wannabe donald trump,1,0,0,1,0,1,1,0,0,-0.5574
4,Conservative,our current president finally someone to put america 1st,1,1,,5,,1,1,0,1,0
4,Moderate,donald trump,1,1,,5,,0,0,0,0,0
4,Conservative,we will stand up for ourselves our new president shows the world that,1,1,,2,,1,1,0,1,0
4,Not sure,donald trump,1,1,,1,,0,0,0,0,0
4,Very conservative,that weve elected a non politician as president and hes getting things done !,1,1,,4,,1,1,1,1,0
4,Moderate,we have a new and exciting president,1,1,1,5,1,1,1,0,1,0.4939
4,Conservative,donald trump is going to change politics for the better in 4 years this country will be much better economically we will be a stronger more united country once everyone sees that he can fix things and destroy corruption in politics,1,1,1,1,1,1,1,0,1,0.7902
4,Not sure,our new president,1,1,,4,,1,1,0,1,0
4,Conservative,a real president,1,1,,5,,1,1,1,1,0
4,Moderate,now nothing before how we were able to choose good president with a politics background and somebody who was involved in office for a while,1,0,1,3,1,1,1,0,1,0.4404
4,Very conservative,honestly im proud that we finally have a president who is making great changes !,1,1,1,3,1,1,1,1,1,0.8883
