id,text,sentiment_C1,stance_C1,sentiment_C2,stance_C2,target
wm_0,"Target: Women's March

London Women's March 2017. #womensmarch #resist #lovetrumpshate #womeninstreet https://t.co/FZ9KETMZi6",1.0,1,1.0,1.0,wm
wm_1,"Target: Women's March

Rip to those that actually have somewhere to be today because there is this in your city. https://t.co/ofdLA4yiGd",0.0,0,0.0,0.0,wm
wm_2,"Target: Women's March

Look how much I do care about keeping America Fit, I've motivated so many ppl to go walking on this beautiful day! #DOTUS #WomensMarch #iwin",1.0,0,1.0,0.0,wm
wm_3,"Target: Women's March

Oh no this will definitely change the outcome of the AMERICAN election. https://t.co/sluhFaFVEv",0.0,0,0.0,0.0,wm
wm_4,"Target: Women's March

The women's marches were huuuge this weekend! Now it's clear that Trump has neither a mandate nor a woman-date. #joketrump #WomensMarch",1.0,1,1.0,1.0,wm
wm_5,"Target: Women's March

by bombing them? https://t.co/JSkfqksXDm",0.0,0,0.0,1.0,wm
wm_7,"Target: Women's March

Best chants #WomensMarch 

""Tiny hands tiny feet all he does is tweet tweet tweet""

""He's orange he's gross he lost the popular vote""",1.0,1,0.0,1.0,wm
wm_8,"Target: Women's March

Holy cow!! This is fantastic!! Trump has accomplished something...THIS! https://t.co/AQ0VCjC1oq",1.0,1,1.0,1.0,wm
wm_9,"Target: Women's March

My city coming through 👏🏼👏🏼 https://t.co/gyNXKZ0vq7",1.0,1,1.0,1.0,wm
wm_10,"Target: Women's March

TBH I want that pink pussy beanie too #WomensMarch",1.0,1,1.0,1.0,wm
wm_11,"Target: Women's March

Nice! https://t.co/jnGK9oIG2I",1.0,1,1.0,1.0,wm
wm_13,"Target: Women's March

@DrMartyFox #WomensMarch absent when women of Cologne mass raped by MidEast male refugees, then told 2 basically grin/bear it by their mayor",0.0,0,0.0,0.0,wm
wm_15,"Target: Women's March

DemAwakening: .zhaabowekwe will kick off our Teach-In on Jan 21, which will mobilize womensmarch attendees around … https://t.co/w7WXb3s0Vp",1.0,1,1.0,1.0,wm
wm_16,"Target: Women's March

All those broads, and nobody to clean up that mess. https://t.co/cB8KUXhcq2",0.0,0,0.0,0.0,wm
