user_screen_name,user_id,tweet_id,text,ideology_score,vader_sentiment,SVM_sentiment,SVM_stance,sentiment,BERT_sentiment,BERT_stance,lexicoder_sentiment,stance
Joni_Looking,id: 857936728165896204,id:1043544912145330176, .  ATTENTION   MD Chief of Police say; They will Move Forward with Investigation of Brett Kavanaugh...  . https://t.co/WXfJ72mudv,-1.141981091,,0,0,neutral,1,1,1.0,0.0
larriandJ,id: 758454822622363652,id:1043579979957714945," .@larriandJ That the GOPs haven't long ago disqualified Kavanaugh, speaks for itself - just imagine how they would act if the Democrats showed up with a SCOTUS candidate as flawed as him😡  Brett Kavanaugh: Judge accuser agrees to testify next week - https://t.co/WKh47xrRBq",-2.32127399,1.0,0,1,neutral,0,1,0.0,0.0
TwitchyTeam,id: 469194846,id:1043565332110151681, 'Flee the country'? WaPo report about Christine Blasey Ford's trauma over Kavanaugh (AND Trump) dials it up a notch https://t.co/G0DyQuswZG,1.937072384,0.0,0,0,neutral,0,0,0.0,1.0
TwitchyTeam,id: 469194846,id:1043565332110151681, 'Flee the country'? WaPo report about Christine Blasey Ford's trauma over Kavanaugh (AND Trump) dials it up a notch https://t.co/G0DyQuswZG,1.937072384,0.0,0,0,neutral,0,0,0.0,1.0
GigiShapiroProd,id: 32962994,id:1043545946846580737," ‘100 Kegs or Bust’: Kavanaugh friend, Mark Judge, has spent years writing about high school debauchery https://t.co/NBWe1Pv2MW",0.56845292,1.0,1,0,neutral,0,0,1.0,0.0
LindaSolarSun,id: 40114507,id:1043550774192529408," ‘100 Kegs or Bust’: Kavanaugh friend, Mark Judge, has spent years writing about high school debauchery https://t.co/OGGyvXKRrs",-1.335653076,1.0,1,0,neutral,0,0,1.0,0.0
JVT225,id: 1643714730,id:1043637236829425664," ‘100 Kegs or Bust’: Kavanaugh friend, Mark Judge, has spent years writing about high school debauchery https://t.co/uQJWfV8tXv",-1.596541722,1.0,1,0,neutral,0,0,1.0,0.0
StarCreativeI,id: 92492429,id:1043621939955294216, “Dr. Ford accepts the Committee’s request to provide her first-hand knowledge of Brett #Kavanaugh’s sexual misconduct next week.” https://t.co/pjJreTEc09,-1.906238953,1.0,0,0,neutral,1,0,1.0,0.0
PeaceWestphalia,id: 249820184,id:1043660811275837440," “Even if they had tried, Republicans could have not done a better job demonstrating their bias, ineptitude, unseriousness, meanness, unfairness and general lack of empathy.” #Kavanaugh  https://t.co/meQFWY6Kjc",0.500559449,0.0,0,0,neutral,0,0,0.0,0.0
dezhill,id: 16422635,id:1043546625153683457," “I said that Mommy had a story about a Supreme Court nominee, and now it’s broken into the news, and we can’t stay in the house anymore.” https://t.co/RNfBJAVRBw",-0.619843609,1.0,0,0,neutral,0,0,0.0,0.0
Margare03456100,id: 4858947569,id:1043572803977515010, “Women can Make things Up.” Way to go Keith Ellison!  Tell that to the DemocRATs trying to crucify Judge Brett Kavanaugh!   https://t.co/ykWR1QC3A0,1.879576775,,0,1,neutral,0,1,0.0,1.0
UniteBlueSC,id: 405137225,id:1043530369734041601, ⚡️Join us! ⚡️  TOMORROW 9/23 8PM EST  ❌We're gonna Cancel Kavanaugh❌ https://t.co/ISQUUtZCjL,-1.020249035,0.0,0,0,neutral,0,1,1.0,0.0
MemaPatriot,id: 1691360814,id:1043543211967315968," ""I believe that he would make an excellent addition to the US Supreme Court and urge the Senate to move ahead with his confirmation, BEFORE THE MIDTERM ELECTIONS!"" https://t.co/kMfdY9DL5c",2.121342229,1.0,0,0,neutral,1,0,1.0,1.0
evd0127,id: 1219718995,id:1043544320308068352, @_LoveLike_JESUS @Rambobiggs The plaintiffs have the burden of proof.  So far there is absolutely no evidence that Kavanaugh is guilty so he is presumed innocent.,2.039677271,0.0,0,1,neutral,0,1,0.0,1.0
maratoo7,id: 728087369941811200,id:1043551400091942912," @4DandS @senorrinhatch @usacit1970 Sitting on the bench of the Supreme Court is not a right. It must be proven that he is worthy. That cannot happen unless the FBI background check is reopened and investigated. This is something that, regardless of party, should be a no brainer. Precedent set with Anita Hill.",-1.79221637,1.0,0,0,neutral,0,0,1.0,0.0
kristine_kenyon,id: 786963810829512704,id:1043667265135230982, @AmorGaia @Angielee161 @LauraAJarrett That’s why they won’t just withdraw Kavanaugh and nominate someone less controversial...they own him. He’ll be predictable on the bench &amp; wont pull a John Roberts w any dissents from the Federalist/far right stance. We have to fight like hell.,-1.341646088,0.0,0,0,neutral,0,0,0.0,0.0
jonnic454,id: 3316174231,id:1043562659847852032, @AnnCoulter I am amazed that we haven't seen a dozen more by this time.  Says a lot about Kavanaugh's character that it is that hard to come up with even a semi-plausable accusation against him.  How many of you could withstand this kind of scrutiny?,1.744122625,1.0,0,0,neutral,0,0,0.0,1.0
CpaCarter,id: 2783575643,id:1043709076440535041, @Astartiel @Nina_Marie_McK @Lawrence Bullshit. The FBI can’t &amp; won’t investigate. Kavanaugh is clean. The democrats are dirty.,2.335522919,0.0,0,0,neutral,0,1,0.0,1.0
trimax23,id: 15702433,id:1043654820001992704," @avec_empathie @AriFleischer The witness won’t testify, he says it didn’t happen but won’t swear to it. He wrote a book @ the drunken party high school days where him &amp; his friends believed “no means yes &amp; yes means anal”. Kavanaugh has been working every day to come up with a defense, why if he is innocent.",-1.720612909,1.0,0,0,neutral,0,0,0.0,0.0
jhpianist,id: 20815307,id:1043655678496141313, @b0rk0w @renato_mariotti @ChristinaBerish I imagine that testifying truthfully could cause more problems for Kavanaugh as well.,-1.441915327,1.0,0,0,neutral,1,0,1.0,0.0
DaveLG,id: 6699732,id:1043553581733822464, @benwikler Well @ChuckGrassley had to fire a staffer involved in the Kavanaugh debacle too. Guess what type of behavior got the staffer fired!,-1.616863752,0.0,0,0,neutral,0,0,,0.0
DaveLG,id: 6699732,id:1043553581733822464, @benwikler Well @ChuckGrassley had to fire a staffer involved in the Kavanaugh debacle too. Guess what type of behavior got the staffer fired!,-1.616863752,0.0,0,0,neutral,0,0,,0.0
purrfection2015,id: 4752109760,id:1043713759087345666, @Bls1022 @JCNSeverino Dr. Ford never said that her friend/classmate was in the room during the assault.  She did say that Kavanaugh and Judge were there.  What was the point of his supporters trying to blame someone else then??,-2.084904539,0.0,0,0,neutral,0,0,,0.0
surelyverily,id: 31244338,id:1043543752437051392," @BuzzPatterson Feinstein isnt even calling her an ""alleged"" survivor. They have pronounced Kavanaugh guilty w/o evidence, trial, witnesses and fact ""Attempt Rape"" is very difficult to prove (at least in Canada).",1.634838054,0.0,0,1,neutral,0,1,0.0,1.0
mynropmail,id: 3385929795,id:1043603609190105088, @bzzybees0807 @tomtomokie I understand and agree... I just don't see the advantage of banging on the very people that can make it happen.  How does that help?  My concern is Kavanaugh being confirmed will only infuriate the left and drive them to polls in Nov. We have no choice. We HAVE to hold the House!,1.751163629,0.0,1,1,neutral,0,1,1.0,1.0
frannie1225,id: 240993356,id:1043535695581728768, @CBSNews @wordsanddeeds2 https://t.co/q2lzbz4SQs EVERYONE REMEMBER THIS  IF YOU VOTE YOU SAVE OUR COUNTRY! IF YOU DON'T VOTE THEN YOU JUST GAVE APPROVAL 2 THIS ADMINISTRATION &amp;NOW THEY WILL FINISH WHAT THEY STARTED! 🚨ASK YOURSELVES WHY ARE THEY SO DETERMINED ON KAVANAUGH? WHY? 🚨WHAT ARE THEY PLANNING?,-1.804981854,1.0,1,0,neutral,1,1,1.0,0.0
cantrell_drew,id: 1345628359,id:1043623088716488705, @CBSNews You all have proven that to be a lie.  Attacking the victim and saying Kavanaugh will be sworn in next week.  You are despicable and not a Christian in any way.  Just another Trumpian worshiping Agent Orange,1.342487851,0.0,0,0,neutral,0,1,0.0,0.0
sean89061,id: 1020129949859090432,id:1043704787563438080, @Cernovich @wfkmagic Did she fabricate police reports and medical records. I doubt it. There are 2 women that accused him. He is guilty and the Dirty Dems won't disavow him. Kavanaugh is innocent and they drooling at the mouth. Anybody else see a problem with this?,1.792225769,0.0,0,0,neutral,0,1,0.0,1.0
risqbiz,id: 1729299571,id:1043718630322659328, @ChadPergram Well Ms. Keyset says she was never at a party with Ford and Kavanaugh so the point is moot!,1.893071604,0.0,1,1,neutral,1,1,1.0,1.0
prayerworks77,id: 998665701471768582,id:1043613810362343425, @charliekirk11 You got that 100% right Charlie!;Why can't Grassley and Mitch McConnell see this and all other Republicans. This is a ploy to stop Kavanaugh's CONFIRMATION!!! And it is Sickening!!!,1.646196873,0.0,0,0,neutral,0,1,1.0,1.0
ggary59,id: 3952160717,id:1043711513939378176, @cher https://t.co/jDNEQGOibS,1.829444437,,0,0,neutral,1,1,,0.0
fjdinardo,id: 143094330,id:1043535315707879426, @chrislhayes You can thank the Dems for this. They are using her as a political weapon against Kavanaugh and the GOP is not going to play their games. She had 36 years to do something about it. Either she testifies  next week or they are going to vote. No more of these bullshit games,1.819322765,0.0,0,1,neutral,0,1,0.0,1.0
ass_flounder,id: 183878244,id:1043543163657494529," @ChuckGrassley ""the computer tubes make my message go where my brain believes it to be the target. I was in the Microsoft hearings with Gill Bates and Kavanaugh received it, it is not my approach to b indyISIS  LOVE,   [SIGNATURE$+&amp;GRASSLEY-SENATE]""",-1.703193372,1.0,0,1,neutral,0,0,1.0,0.0
Jim56931230,id: 552032245,id:1043547856832004099, @ChuckGrassley If there's a vote on Kavanaugh it would be sincere hope Dr. Ford files charges in Maryland. You were given the opportunity to do a proper investigation and you blew it.,-1.708075154,1.0,0,0,neutral,0,0,1.0,0.0
LynnMakar,id: 3411819291,id:1043621404355252224, @ChuckGrassley No more extensions.  She testifies Monday or not.  Vote and confirm Kavanaugh NOW.  You look weak and are caving in to the dems.  Get a  backbone.  Get it done!,1.496615629,0.0,0,1,neutral,0,1,1.0,1.0
FireproofNikes,id: 825209300549197825,id:1043547510629838849," @ChuckGrassley Oh, you’re such a saint. One f’ing day when you put off Garland for 400. How about giving her the NON-PARTISAN FBI investigation including witnesses that she deserves before you and your bros start tearing down her character? Kavanaugh should bail out.",1.206876186,1.0,0,0,neutral,1,0,0.0,0.0
jaimelasvegas,id: 131019911,id:1043530245201178631," @ChuckGrassley Sen. Grassley, Did you intend this as a text message to Judge Kavanaugh? We're all reading it now on Twitter. Just wanted to make sure you know the difference before you mistakenly ""text"" @SenMajLdr, ""Mitch, Doing my best to keep FBI away from Kavanaugh. Dr. Ford is nuts. LOL!""",-2.034832689,1.0,1,0,neutral,0,0,,0.0
sandune913,id: 860964673629306880,id:1043660707940552704, @ChuckGrassley The hearing should be held on Monday. If not the vote should be helped on Monday! You need to be fair to Kavanaugh. You caving AGAIN is not going to sit well with the majority of the country. She can be there Monday! Please don't cave AGAIN! GROW SOME CAJONES!!,2.010811354,1.0,0,1,neutral,1,1,1.0,1.0
walterboro,id: 35048660,id:1043551046977708032," @ChuckGrassley Time 2 end this circus display by Democrats. Time 2 decide if “Mob Rule or Senate Rules”. Everyday it becomes more evident what is going on. I implore u Send FBI 2 California 2day 2 interview Ford get her statement, interview Kavanaugh give both to Committee. Time 2 move forward",1.959702515,,1,1,neutral,0,1,,1.0
TeleMoxie,id: 28155935,id:1043534937952010242," @ChuckGrassley Why not invite and encourage her testimony and comments on two separate issues: 1) her insights and suggestions to update and improve future confirmation proceedings, which she can present at her leisure. 2) her testimony regarding Judge Kavanaugh, following existing procedures.",1.721838839,0.0,0,0,neutral,1,1,1.0,1.0
JustAVoice16,id: 1000769805308321792,id:1043551803282018304, @ChuckGrassley Your party reeks of perverts. Birds of a feather. @Lorarmcha   https://t.co/HaxBr353dQ,-1.575345388,0.0,0,0,neutral,0,1,0.0,0.0
chev7788,id: 801061411275374592,id:1043538450530615296, @civilrightsorg Vote YES for Kavanaigh for the United States Supreme Court!,1.908479861,1.0,1,1,neutral,1,0,1.0,1.0
LottyW1,id: 844204250,id:1043551632829624326, @CNN Term limits. There isn’t the slightest possibility that even one of these Senators will listen to Dr. Ford with an open mind. They all know long before she steps into that building that they are in camp Kavanaugh. Nothing will change that mind-set.,0.10491911,,0,0,neutral,0,1,,0.0
LottyW1,id: 844204250,id:1043551632829624326, @CNN Term limits. There isn’t the slightest possibility that even one of these Senators will listen to Dr. Ford with an open mind. They all know long before she steps into that building that they are in camp Kavanaugh. Nothing will change that mind-set.,0.10491911,,0,0,neutral,0,1,,0.0
FreykaSays,id: 983368986359365632,id:1043551723254628352, @dbongino He'll be too busy sh!tting on every liberal dream while serving on the Supreme Court,1.840532522,1.0,0,1,neutral,0,1,0.0,1.0
FreykaSays,id: 983368986359365632,id:1043551723254628352, @dbongino He'll be too busy sh!tting on every liberal dream while serving on the Supreme Court,1.840532522,1.0,0,1,neutral,0,1,0.0,1.0
konaalii,id: 153310753,id:1043683980397006848," @dbongino Here's the background info on Christine Ford employers business is off market ABORTION PILLS. Corcept Therapeutics,  THE ABORTION PILL CORP .The obvious motivation for her attack onto Brett Kavanaugh. Fear of Roe vs Wade being repealed. This would NEVER happen.",0.919886275,0.0,0,1,neutral,0,1,0.0,1.0
ellen6019,id: 38965083,id:1043716477147336704, @dcpoll @justinjm1 @washingtonpost @npfandos Wrong. Her sworn statement under penalty of perjury says nothing of the sort. She says she doesn't even know Kavanaugh. WaPo has lots of explaining to do. Pure evil what you have done to Kavanaugh.,2.348490666,0.0,0,1,neutral,0,1,0.0,1.0
TheCaroleShow,id: 17974802,id:1043542006813925377," @Desperobbo @gabe_seabass @SenFeinstein That man of character and integrity, who is innocent, would also DEMAND that his accuser not be publicly dragged through the mud by his cohorts and surrogates.   Kavanaugh is not that man. Nor are his supporters, cohorts, and surrogates.",-1.18926896,1.0,0,0,neutral,0,1,,0.0
berman_cathy,id: 4054314860,id:1043630029425373185, @DougJones @robreiner It’s obvious McConnell is going against what is ethical and appropriate. And Kavanaugh is showing clear bias in favor of Republican Party? He is the antithesis of impartial. Serious question: why is this being allowed?,-1.658057986,1.0,0,0,neutral,0,0,,0.0
gaytoradebitch,id: 4835088257,id:1043546510619758592, @Dusty09035168 @DSNEY23 @Alyssa_Milano All they’re doing is inspiring women to vote blue and when we take back the House kavanaugh will get impeached and then ur beloved president will too,-1.354275831,1.0,1,1,neutral,1,1,1.0,0.0
andrewjhutton,id: 2332701390,id:1043542127823577089," @elongreen If underage drinking is as serious as people make it seem in the USA, why is nobody mentioning this behaviour when it comes to supreme court nominees? Or is it really as it seems.",-1.389682636,1.0,0,1,neutral,0,0,,0.0
tariku11,id: 208709511,id:1043617308235554816, @farronbalanced Her testimony will not prevent him from being on the Supreme Court and she will not a get the FBI investigation she asked for. It's really unfair they keep bullying her,0.963575504,0.0,0,0,neutral,0,0,0.0,0.0
franceenm,id: 825755160,id:1043540985278427136, @FBI Plz Plz Plz come fwd with more depth of vetting kavanaugh for all citizens in a position for his lifetime with major character and potential criminal acts.  A hand picked by federalist society-why!? Pause this hearing #nokavanaugh,-1.269376704,1.0,0,0,neutral,0,0,0.0,0.0
DeckardDon,id: 1028465542947119104,id:1043544613590654976," @FoxNews Here's a idea; half of those protesting Kavanaugh and busting into Republican Senators offices, go protest this guy and just maybe will give you some credence",1.995731476,0.0,1,1,neutral,0,1,0.0,1.0
PMgeezer,id: 39755667,id:1043549015751700481, @FoxNews is trashing Republicans and Kavanaugh continually. Had to turn it off.  Absolutely despicable behavior by Leland and his long-haired co-conspirator.  #click,2.113430007,,0,1,neutral,0,1,0.0,1.0
mattlogical,id: 2185190036,id:1043860116498333696, @FoxNewsSunday @LindseyGrahamSC What was the problem with the other 4 conditions? Fear of the truth? Same reason you're concealing the bulk of Kavanaugh's records?,-1.63966345,0.0,0,0,neutral,0,1,0.0,0.0
JoannBagno,id: 857034923164807168,id:1043714120405651456, @FrankBeilfuss @tb_terry @Augustus709 @Stregabella9 Let's face it.. not only did kavanaugh try to rape a 15 yr old girl but he has perjured himself ( lying under oath) more than once to Congress. He obviously has NO respect for the truth.,-1.636555639,0.0,0,0,neutral,0,0,,0.0
gbarrettlw,id: 840629672908066817,id:1043651899432624131, @frankrichny There are men doing 10 years in prison for doing what Kavanaugh is accused of doing.,0.17775465,0.0,1,0,neutral,0,0,0.0,0.0
MrBiggreg,id: 39094368,id:1043535208753041408, @Fuctupmind @HCDotNet You can't blame @ChuckGrassley  for the circus going on over Kavanaugh This is @JeffFlake 's way to take a stab at @realDonaldTrump  on his way out the door They need Flakes vote to confim Never Trumpers are blocking this nomination not only the Dems #VoteThemOut,1.733986776,0.0,0,1,neutral,0,1,0.0,1.0
RCSez,id: 24901268,id:1043664969336848384, @gaoluinn @iamlodestar @washingtonpost I think you completely missed the Ford/Kavanaugh reference there.,-1.424306119,0.0,0,0,neutral,1,0,,0.0
